81
8
0,192,779,337,615,498,501,626,702
1,151,360,612,917,95,494,76,266
2,755,606,289,566,589,580,743,763
3,344,89,162,500,91,347,173,890
4,837,681,205,156,172,487,240,803
5,921,64,105,528,405,699,829,570
6,193,456,872,252,355,996,597,763
7,860,708,682,737,321,994,667,242
8,739,591,21,101,675,131,99,665
9,189,382,426,586,411,531,83,112
10,592,877,440,727,887,33,779,247
11,24,430,812,656,433,638,353,383
12,145,761,284,975,875,591,860,680
13,584,680,454,840,630,422,573,557
14,909,42,221,509,873,853,352,230
15,788,768,78,53,294,525,995,52
16,694,727,660,846,670,201,964,37
17,86,978,75,741,881,84,481,471
18,844,610,298,136,686,987,476,274
19,716,765,920,892,271,413,612,99
20,275,287,86,345,115,930,990,139
21,367,39,830,461,311,218,149,425
22,925,132,723,532,674,474,259,915
23,494,35,825,926,7,667,540,752
24,250,896,10,653,791,404,186,302
25,296,689,162,628,144,547,526,633
26,593,449,700,831,837,170,39,510
27,432,788,401,369,642,841,942,679
28,810,715,81,214,26,359,185,165
29,354,122,281,412,59,214,241,352
30,54,895,315,312,197,872,271,367
31,240,191,493,523,574,133,686,937
32,552,407,216,635,998,1,766,720
33,145,286,708,691,788,152,377,673
34,688,281,684,6,917,337,171,701
35,302,561,777,263,39,237,429,505
36,932,873,45,881,886,407,579,897
37,867,772,281,465,726,38,564,403
38,237,165,69,657,71,509,818,299
39,53,311,337,288,744,963,434,951
40,551,366,24,531,311,662,682,831
41,223,779,171,738,643,690,851,34
42,863,625,239,856,851,934,490,819
43,16,168,914,306,906,341,775,899
44,510,513,989,503,219,837,176,702
45,996,799,330,102,240,444,661,134
46,393,890,724,325,785,266,417,425
47,650,50,70,32,39,403,942,102
48,517,692,653,116,393,994,237,405
49,870,221,668,380,179,328,369,891
50,186,215,878,722,977,688,204,706
51,691,827,489,640,265,244,624,592
52,935,645,876,485,879,129,229,954
53,557,410,375,679,777,730,940,964
54,119,669,940,937,581,678,756,717
55,300,306,143,790,266,291,735,60
56,494,407,774,412,678,730,934,740
57,641,334,192,632,352,585,651,144
58,658,336,588,706,558,810,726,905
59,143,105,752,630,705,493,773,927
60,512,724,496,807,927,346,475,278
61,544,585,354,976,138,801,886,386
62,102,759,145,291,804,983,764,225
63,134,394,789,98,759,858,806,486
64,712,828,467,101,423,663,10,934
65,961,55,178,315,528,879,183,797
66,187,531,864,931,808,600,157,992
67,650,838,319,209,371,120,789,997
68,836,756,281,750,446,35,374,149
69,773,448,420,189,787,855,894,94
70,407,605,398,774,943,435,65,942
71,456,406,808,327,940,878,852,746
72,576,574,215,701,154,849,101,488
73,798,587,16,530,952,11,909,627
74,410,487,194,147,547,625,363,228
75,841,555,989,98,253,787,685,623
76,435,125,445,57,960,160,667,314
77,182,655,224,820,120,153,36,241
78,453,201,580,728,349,649,943,256
79,63,350,685,97,819,11,395,333
80,712,994,599,965,825,101,539,588
